taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order	host_major_clade	host_middle_clade	host_minor_clade
alignment/AL_EHBV-avi.36-callipepla/member/fasta-digs-ehbv/Agapornis_roseicollis_2065	Agapornis_roseicollis_2065	Agapornis_roseicollis_2065	Avihepadnavirus	NDXB01018971.1	46.457	116	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.36-callipepla/member/fasta-digs-ehbv/Agapornis_roseicollis_2066	Agapornis_roseicollis_2066	Agapornis_roseicollis_2066	Avihepadnavirus	NDXB01012147.1	67.925	76	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.36-callipepla/member/fasta-digs-ehbv/Agapornis_roseicollis_4257	Agapornis_roseicollis_4257	Agapornis_roseicollis_4257	Avihepadnavirus	NDXB01000055.1	67.925	84	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.36-callipepla/member/fasta-digs-ehbv/Agapornis_roseicollis_4831	Agapornis_roseicollis_4831	Agapornis_roseicollis_4831	Avihepadnavirus	NDXB01020718.1	71.698	88	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.36-callipepla/member/fasta-digs-ehbv/Ara_macao_4867	Ara_macao_4867	Ara_macao_4867	Avihepadnavirus	KE029857.1	71.186	94	Ara_macao	Ara	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.36-callipepla/member/fasta-digs-ehbv/Callipepla_squamata_5235	Callipepla_squamata_5235	Callipepla_squamata_5235	Avihepadnavirus	MCFN01014221.1	100	568	Callipepla_squamata	Callipepla	Odontophoridae	Galliformes	Galloanserae	none	none
alignment/AL_EHBV-avi.36-callipepla/member/fasta-digs-ehbv/Columba_livia_2190	Columba_livia_2190	Columba_livia_2190	Avihepadnavirus	scaffold27	44.828	73	Columba_livia	Columba	Columbidae	Columbiformes	Neoaves	none	Columbaves
alignment/AL_EHBV-avi.36-callipepla/member/fasta-digs-ehbv/Melopsittacus_undulatus_4950	Melopsittacus_undulatus_4950	Melopsittacus_undulatus_4950	Avihepadnavirus	JH556606	66.4	191	Melopsittacus_undulatus	Melopsittacus	Psittaculidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.36-callipepla/member/fasta-digs-ehbv/Phylloscopus_plumbeitarsus_4120	Phylloscopus_plumbeitarsus_4120	Phylloscopus_plumbeitarsus_4120	Avihepadnavirus	LXOY01295131.1	90.385	99	Phylloscopus_plumbeitarsus	Phylloscopus	Phylloscopidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.36-callipepla/member/fasta-digs-ehbv/Psittacula_krameri_4140	Psittacula_krameri_4140	Psittacula_krameri_4140	Avihepadnavirus	NFZL01000963.1	40.278	92	Psittacula_krameri	Psittacula	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.36-callipepla/member/fasta-digs-ehbv/Psittacula_krameri_5091	Psittacula_krameri_5091	Psittacula_krameri_5091	Avihepadnavirus	NFZL01001959.1	67.797	89	Psittacula_krameri	Psittacula	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
