taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-avi.5-passeriformes/member/fasta-digs-ehbv/Geospiza_fortis_2548	Geospiza_fortis_2548	Geospiza_fortis_2548	Avihepadnavirus	JH739935	90	91	Geospiza fortis	Geospiza	Thraupidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes/member/fasta-digs-ehbv/Hemignathus_virens_4404	Hemignathus_virens_4404	Hemignathus_virens_4404	Avihepadnavirus	LTAT01000011.1	92.593	107	Hemignathus virens	Hemignathus	Fringillidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes/member/fasta-digs-ehbv/Junco_hyemalis_2570	Junco_hyemalis_2570	Junco_hyemalis_2570	Avihepadnavirus	QZWM01002192.1	88	88	Junco hyemalis	Junco	Passerellidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes/member/fasta-digs-ehbv/Lonchura_striata_domestica_4933	Lonchura_striata_domestica_4933	Lonchura_striata_domestica_4933	Avihepadnavirus	NW_018654818.1	100	107	Lonchura striata domestica	Lonchura	Estrildidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes/member/fasta-digs-ehbv/Passer_domesticus_2750	Passer_domesticus_2750	Passer_domesticus_2750	Avihepadnavirus	CM004535.1	86.667	79	Passer domesticus	Passer	Passeridae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes/member/fasta-digs-ehbv/Serinus_canaria_4733	Serinus_canaria_4733	Serinus_canaria_4733	Avihepadnavirus	gi|668343350|ref|NW_007931131.1|	96.296	107	Serinus canaria	Serinus	Fringillidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes/member/fasta-digs-ehbv/Setophaga_coronata_4736	Setophaga_coronata_4736	Setophaga_coronata_4736	Avihepadnavirus	MDLI01000090.1	96.226	102	Setophaga coronata	Setophaga	Parulidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes/member/fasta-digs-ehbv/Sporophila_hypoxantha_2934	Sporophila_hypoxantha_2934	Sporophila_hypoxantha_2934	Avihepadnavirus	NDFG01000037.1	91.304	88	Sporophila hypoxantha	Sporophila	Thraupidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes/member/fasta-digs-ehbv/Taeniopygia_guttata_4759	Taeniopygia_guttata_4759	Taeniopygia_guttata_4759	Avihepadnavirus	chr8	100	109	Taeniopygia guttata	Taeniopygia	Estrildidae	Passeriformes
alignment/AL_EHBV-avi.5-passeriformes/member/fasta-digs-ehbv/Zonotrichia_albicollis_3015	Zonotrichia_albicollis_3015	Zonotrichia_albicollis_3015	Avihepadnavirus	gi|538541919|ref|NW_005081684.1|	83.333	82	Zonotrichia albicollis	Zonotrichia	Passerellidae	Passeriformes
