taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-avi.12-anatidae/member/fasta-digs-ehbv/Anas_platyrhynchos_4850	Anas_platyrhynchos_4850	Anas_platyrhynchos_4850	Avihepadnavirus	KB813072.1	67.925	190	Anas platyrhynchos	Anas	Anatidae	anatidae
alignment/AL_EHBV-avi.12-anatidae/member/fasta-digs-ehbv/Anas_platyrhynchos_4851	Anas_platyrhynchos_4851	Anas_platyrhynchos_4851	Avihepadnavirus	KB746102.1	77.215	121	Anas platyrhynchos	Anas	Anatidae	anatidae
alignment/AL_EHBV-avi.12-anatidae/member/fasta-digs-ehbv/Anas_platyrhynchos_4854	Anas_platyrhynchos_4854	Anas_platyrhynchos_4854	Avihepadnavirus	scaffold3733	77.215	121	Anas platyrhynchos	Anas	Anatidae	anatidae
alignment/AL_EHBV-avi.12-anatidae/member/fasta-digs-ehbv/Anas_platyrhynchos_4855	Anas_platyrhynchos_4855	Anas_platyrhynchos_4855	Avihepadnavirus	C19237742	67.925	190	Anas platyrhynchos	Anas	Anatidae	anatidae
alignment/AL_EHBV-avi.12-anatidae/member/fasta-digs-ehbv/Anas_zonorhyncha_27318	Anas_zonorhyncha_27318	Anas_zonorhyncha_27318	Avihepadnavirus	NOIK01000496.1	80	226	Anas zonorhyncha	Anas	Anatidae	anatidae
alignment/AL_EHBV-avi.12-anatidae/member/fasta-digs-ehbv/Anser_brachyrhynchus_27320	Anser_brachyrhynchus_27320	Anser_brachyrhynchus_27320	Avihepadnavirus	NXHY01000420.1	76.433	476	Anser brachyrhynchus	Anser	Anatidae	anatidae
alignment/AL_EHBV-avi.12-anatidae/member/fasta-digs-ehbv/Anser_cygnoides_27323	Anser_cygnoides_27323	Anser_cygnoides_27323	Avihepadnavirus	gi|901923397|ref|NW_013186024.1|	76.997	476	Anser cygnoides	Anser	Anatidae	anatidae
alignment/AL_EHBV-avi.12-anatidae/member/fasta-digs-ehbv/Oxyura_jamaicensis_28689	Oxyura_jamaicensis_28689	Oxyura_jamaicensis_28689	Avihepadnavirus	MU018001.1	98.776	498	Oxyura jamaicensis	Oxyura	Anatidae	anatidae
alignment/AL_EHBV-avi.12-anatidae/member/fasta-digs-ehbv/Oxyura_jamaicensis_28690	Oxyura_jamaicensis_28690	Oxyura_jamaicensis_28690	Avihepadnavirus	JAACYN010026625.1	100	508	Oxyura jamaicensis	Oxyura	Anatidae	anatidae
alignment/AL_EHBV-avi.12-anatidae/member/fasta-digs-ehbv/Oxyura_jamaicensis_28691	Oxyura_jamaicensis_28691	Oxyura_jamaicensis_28691	Avihepadnavirus	JAACYN010026742.1	98.776	498	Oxyura jamaicensis	Oxyura	Anatidae	anatidae
