taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order	host_major_clade	host_middle_clade	host_minor_clade
alignment/AL_EHBV-avi.9-melopsittacus/member/fasta-digs-ehbv/Agapornis_roseicollis_4262	Agapornis_roseicollis_4262	Agapornis_roseicollis_4262	Avihepadnavirus	NDXB01013011.1	45.652	81	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.9-melopsittacus/member/fasta-digs-ehbv/Geospiza_fortis_5289	Geospiza_fortis_5289	Geospiza_fortis_5289	Avihepadnavirus	JH740071	57.516	160	Geospiza_fortis	Geospiza	Thraupidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.9-melopsittacus/member/fasta-digs-ehbv/Hemignathus_virens_5298	Hemignathus_virens_5298	Hemignathus_virens_5298	Avihepadnavirus	LTAT01000022.1	53.659	100	Hemignathus_virens	Hemignathus	Fringillidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.9-melopsittacus/member/fasta-digs-ehbv/Junco_hyemalis_5307	Junco_hyemalis_5307	Junco_hyemalis_5307	Avihepadnavirus	QZWM01001043.1	59.677	180	Junco_hyemalis	Junco	Passerellidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.9-melopsittacus/member/fasta-digs-ehbv/Melopsittacus_undulatus_4939	Melopsittacus_undulatus_4939	Melopsittacus_undulatus_4939	Avihepadnavirus	JH549494	85.185	93	Melopsittacus_undulatus	Melopsittacus	Psittaculidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.9-melopsittacus/member/fasta-digs-ehbv/Melopsittacus_undulatus_5332	Melopsittacus_undulatus_5332	Melopsittacus_undulatus_5332	Avihepadnavirus	JH556615	84.528	980	Melopsittacus_undulatus	Melopsittacus	Psittaculidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.9-melopsittacus/member/fasta-digs-ehbv/Melopsittacus_undulatus_5333	Melopsittacus_undulatus_5333	Melopsittacus_undulatus_5333	Avihepadnavirus	JH556590	83.221	264	Melopsittacus_undulatus	Melopsittacus	Psittaculidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.9-melopsittacus/member/fasta-digs-ehbv/Passer_domesticus_5406	Passer_domesticus_5406	Passer_domesticus_5406	Avihepadnavirus	CM004546.1	64.493	169	Passer_domesticus	Passer	Passeridae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.9-melopsittacus/member/fasta-digs-ehbv/Psittacula_krameri_5471	Psittacula_krameri_5471	Psittacula_krameri_5471	Avihepadnavirus	NFZL01002292.1	60.748	140	Psittacula_krameri	Psittacula	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.9-melopsittacus/member/fasta-digs-ehbv/Setophaga_coronata_5504	Setophaga_coronata_5504	Setophaga_coronata_5504	Avihepadnavirus	MDLI01000805.1	60.606	114	Setophaga_coronata	Setophaga	Parulidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.9-melopsittacus/member/fasta-digs-ehbv/Sporophila_hypoxantha_5514	Sporophila_hypoxantha_5514	Sporophila_hypoxantha_5514	Avihepadnavirus	NDFG01000222.1	71.605	120	Sporophila_hypoxantha	Sporophila	Thraupidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.9-melopsittacus/member/fasta-digs-ehbv/Taeniopygia_guttata_5527	Taeniopygia_guttata_5527	Taeniopygia_guttata_5527	Avihepadnavirus	chr20	60.494	187	Taeniopygia_guttata	Taeniopygia	Estrildidae	Passeriformes	Neoaves	Inopaves	Australiaves
