taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-herpeto.2-serpentes/member/fasta-digs-ehbv/Crotalus_mitchellii_pyrrhus_27285	Crotalus_mitchellii_pyrrhus_27285	Crotalus_mitchellii_pyrrhus_27285	Herpetohepadnavirus	JPMF01190970.1	67.382	309	Crotalus mitchellii pyrrhus	Crotalus	Viperidae	Squamata
alignment/AL_EHBV-herpeto.2-serpentes/member/fasta-digs-ehbv/Crotalus_viridis_27286	Crotalus_viridis_27286	Crotalus_viridis_27286	Herpetohepadnavirus	PDHV01001993.1	63.218	317	Crotalus viridis	Crotalus	Viperidae	Squamata
alignment/AL_EHBV-herpeto.2-serpentes/member/fasta-digs-ehbv/Emydocephalus_ijimae_27287	Emydocephalus_ijimae_27287	Emydocephalus_ijimae_27287	Herpetohepadnavirus	BHEV01015904.1	94.576	567	Emydocephalus ijimae	Emydocephalus	Hydrophiidae	Squamata
alignment/AL_EHBV-herpeto.2-serpentes/member/fasta-digs-ehbv/Hydrophis_cyanocinctus_27290	Hydrophis_cyanocinctus_27290	Hydrophis_cyanocinctus_27290	Herpetohepadnavirus	RSAE01415353.1	68.092	807	Hydrophis cyanocinctus	Hydrophis	Hydrophiidae	Squamata
alignment/AL_EHBV-herpeto.2-serpentes/member/fasta-digs-ehbv/Hydrophis_melanocephalus_27291	Hydrophis_melanocephalus_27291	Hydrophis_melanocephalus_27291	Herpetohepadnavirus	BHFS01108533.1	73.684	782	Hydrophis melanocephalus	Hydrophis	Hydrophiidae	Squamata
alignment/AL_EHBV-herpeto.2-serpentes/member/fasta-digs-ehbv/Laticauda_colubrina_27276	Laticauda_colubrina_27276	Laticauda_colubrina_27276	Herpetohepadnavirus	BHFR01001345.1	88.991	201	Laticauda colubrina	Laticauda	Elapidae	Squamata
alignment/AL_EHBV-herpeto.2-serpentes/member/fasta-digs-ehbv/Laticauda_laticaudata_27292	Laticauda_laticaudata_27292	Laticauda_laticaudata_27292	Herpetohepadnavirus	BHFT01045618.1	91.691	649	Laticauda laticaudata	Laticauda	Elapidae	Squamata
alignment/AL_EHBV-herpeto.2-serpentes/member/fasta-digs-ehbv/Notechis_scutatus_27294	Notechis_scutatus_27294	Notechis_scutatus_27294	Herpetohepadnavirus	NW_020716693.1	100	798	Notechis scutatus	Notechis	Elapidae	Squamata
alignment/AL_EHBV-herpeto.2-serpentes/member/fasta-digs-ehbv/Ophiophagus_hannah_27191	Ophiophagus_hannah_27191	Ophiophagus_hannah_27191	Herpetohepadnavirus	AZIM01007891.1	91.346	198	Ophiophagus hannah	Ophiophagus	Elapidae	Squamata
alignment/AL_EHBV-herpeto.2-serpentes/member/fasta-digs-ehbv/Pseudonaja_textilis_27299	Pseudonaja_textilis_27299	Pseudonaja_textilis_27299	Herpetohepadnavirus	ref|NW_020769399.1|	97.143	493	Pseudonaja textilis	Pseudonaja	Elapidae	Squamata
