taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Acanthisitta_chloris_27305	Acanthisitta_chloris_27305	Acanthisitta_chloris_27305	Avihepadnavirus	scaffold27280	52.117	230	Acanthisitta chloris	Acanthisitta	Acanthisittidae	Passeriformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Acridotheres_javanicus_27484	Acridotheres_javanicus_27484	Acridotheres_javanicus_27484	Avihepadnavirus	PEJO01000017.1	58.4	395	Acridotheres javanicus	Acridotheres	Sturnidae	Passeriformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Agapornis_roseicollis_4832	Agapornis_roseicollis_4832	Agapornis_roseicollis_4832	Avihepadnavirus	NDXB01015160.1	76.596	197	Agapornis roseicollis	Agapornis	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Alauda_arvensis_28633	Alauda_arvensis_28633	Alauda_arvensis_28633	Avihepadnavirus	CADDXX010000001.1	64.773	212	Alauda arvensis	Alauda	Alaudidae	Passeriformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Amazona_aestiva_27493	Amazona_aestiva_27493	Amazona_aestiva_27493	Avihepadnavirus	LMAW01002613.1	47.411	258	Amazona aestiva	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Amazona_vittata_27498	Amazona_vittata_27498	Amazona_vittata_27498	Avihepadnavirus	KB272672.1	67.021	344	Amazona vittata	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Antigone_vipio_27284	Antigone_vipio_27284	Antigone_vipio_27284	Avihepadnavirus	BJEU01003050.1	70.242	390	Antigone_vipio	Antigone	Gruidae	Gruiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Antrostomus_carolinensis_27508	Antrostomus_carolinensis_27508	Antrostomus_carolinensis_27508	Avihepadnavirus	scaffold16207	60.114	320	Antrostomus carolinensis	Caprimulgus	Caprimulgidae	Caprimulgiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Apaloderma_vittatum_27510	Apaloderma_vittatum_27510	Apaloderma_vittatum_27510	Avihepadnavirus	scaffold16435	60.883	348	Apaloderma vittatum	Apaloderma	Trogonidae	Trogoniformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Aptenodytes_forsteri_27512	Aptenodytes_forsteri_27512	Aptenodytes_forsteri_27512	Avihepadnavirus	Scaffold155	94.805	459	Aptenodytes forsteri	Aptenodytes	Spheniscidae	Sphenisciformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Aquila_chrysaetos_canadensis_27519	Aquila_chrysaetos_canadensis_27519	Aquila_chrysaetos_canadensis_27519	Avihepadnavirus	gi|766829346|ref|NW_011950900.1|	89.683	464	Aquila chrysaetos canadensis	Aquila	Accipitridae	Falconiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Ara_macao_27523	Ara_macao_27523	Ara_macao_27523	Avihepadnavirus	KE061309.1	52.675	186	Ara macao	Ara	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Ardeotis_arabs_28635	Ardeotis_arabs_28635	Ardeotis_arabs_28635	Avihepadnavirus	JAAGAY010129154.1	82.576	227	Ardeotis arabs	Ardeotis	Otididae	Gruiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Ardeotis_arabs_28636	Ardeotis_arabs_28636	Ardeotis_arabs_28636	Avihepadnavirus	JAAGAY010031059.1	77.727	328	Ardeotis arabs	Ardeotis	Otididae	Gruiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Athene_cunicularia_27530	Athene_cunicularia_27530	Athene_cunicularia_27530	Avihepadnavirus	QEEU01000002.1	68.276	188	Athene cunicularia	Athene	Strigidae	Strigiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Balearica_regulorum_27531	Balearica_regulorum_27531	Balearica_regulorum_27531	Avihepadnavirus	scaffold1498	52.875	468	Balearica regulorum	Balearica	Gruidae	Gruiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Bubo_blakistoni_27533	Bubo_blakistoni_27533	Bubo_blakistoni_27533	Avihepadnavirus	BJCB01005125.1	74.611	291	Bubo blakistoni	Bubo	Strigidae	Strigiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Buceros_rhinoceros_27534	Buceros_rhinoceros_27534	Buceros_rhinoceros_27534	Avihepadnavirus	scaffold36794	56.41	344	Buceros rhinoceros	Buceros	Bucerotidae	Bucerotiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Calidris_pugnax_27536	Calidris_pugnax_27536	Calidris_pugnax_27536	Avihepadnavirus	gi|960494929|ref|NW_015094510.1|	56.615	479	Calidris pugnax	Calidris	Scolopacidae	Charadriiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Calidris_pygmaea_27537	Calidris_pygmaea_27537	Calidris_pygmaea_27537	Avihepadnavirus	QJSC01016008.1	63.492	217	Calidris_pygmaea	Calidris	Scolopacidae	Charadriiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Cariama_cristata_27542	Cariama_cristata_27542	Cariama_cristata_27542	Avihepadnavirus	scaffold329	49.367	315	Cariama cristata	Cariama	Cariamidae	Gruiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Cathartes_aura_27544	Cathartes_aura_27544	Cathartes_aura_27544	Avihepadnavirus	scaffold19789	90.833	440	Cathartes aura	Cathartes	Cathartidae	Ciconiiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Charadrius_vociferus_27546	Charadrius_vociferus_27546	Charadrius_vociferus_27546	Avihepadnavirus	scaffold16	70.524	751	Charadrius vociferus	Charadrius	Charadriidae	Charadriiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Chlamydotis_macqueenii_27547	Chlamydotis_macqueenii_27547	Chlamydotis_macqueenii_27547	Avihepadnavirus	gi|702204593|ref|NW_010470167.1|	50.369	360	Chlamydotis macqueenii	Chlamydotis	Otididae	Gruiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Chlamydotis_undulata_27548	Chlamydotis_undulata_27548	Chlamydotis_undulata_27548	Avihepadnavirus	scaffold36512	50.369	360	Chlamydotis undulata	Chlamydotis	Otididae	Gruiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Cicinnurus_regius_5247	Cicinnurus_regius_5247	Cicinnurus_regius_5247	Avihepadnavirus	RAHN01000030.1	75.309	358	Cicinnurus regius	Cicinnurus	Paradisaeidae	Passeriformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Ciconia_boyciana_27550	Ciconia_boyciana_27550	Ciconia_boyciana_27550	Avihepadnavirus	BDFF01094061.1	92.14	441	Ciconia boyciana	Ciconia	Ciconiidae	Ciconiiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Colius_striatus_27551	Colius_striatus_27551	Colius_striatus_27551	Avihepadnavirus	scaffold2903	69.504	188	Colius striatus	Colius	Coliidae	Coliiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Columba_livia_27552	Columba_livia_27552	Columba_livia_27552	Avihepadnavirus	scaffold59	60.884	602	Columba livia	Columba	Columbidae	Columbiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Corapipo_altera_27553	Corapipo_altera_27553	Corapipo_altera_27553	Avihepadnavirus	NW_020884872.1	43.47	322	Corapipo altera	Corapipo	Pipridae	Passeriformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Corvus_brachyrhynchos_5253	Corvus_brachyrhynchos_5253	Corvus_brachyrhynchos_5253	Avihepadnavirus	scaffold103	34.291	214	Corvus brachyrhynchos	Corvus	Corvidae	Passeriformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Corvus_cornix_cornix_5254	Corvus_cornix_cornix_5254	Corvus_cornix_cornix_5254	Avihepadnavirus	gi|725624890|ref|NW_010959474.1|	34.483	217	Corvus cornix cornix	Corvus	Corvidae	Passeriformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/Corvus_hawaiiensis_5255	Corvus_hawaiiensis_5255	Corvus_hawaiiensis_5255	Avihepadnavirus	QORP01000646.1	48.696	186	Corvus hawaiiensis	Corvus	Corvidae	Passeriformes
