taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order	host_major_clade	host_middle_clade	host_minor_clade
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Agapornis_roseicollis_3293	Agapornis_roseicollis_3293	Agapornis_roseicollis_3293	Avihepadnavirus	NDXB01000267.1	59.633	129	-	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Agapornis_roseicollis_4256	Agapornis_roseicollis_4256	Agapornis_roseicollis_4256	Avihepadnavirus	NDXB01000960.1	43.75	69	-	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Agapornis_roseicollis_4267	Agapornis_roseicollis_4267	Agapornis_roseicollis_4267	Avihepadnavirus	NDXB01006551.1	57.143	71	-	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Amazona_aestiva_5174	Amazona_aestiva_5174	Amazona_aestiva_5174	Avihepadnavirus	LMAW01003209.1	59.091	110	-	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Amazona_aestiva_694	Amazona_aestiva_694	Amazona_aestiva_694	Avihepadnavirus	LMAW01000925.1	49.153	62	-	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Amazona_vittata_2434	Amazona_vittata_2434	Amazona_vittata_2434	Avihepadnavirus	AOCU01072743.1	69.136	119	-	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Amazona_vittata_5182	Amazona_vittata_5182	Amazona_vittata_5182	Avihepadnavirus	KB261750.1	54.286	112	-	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Amazona_vittata_708	Amazona_vittata_708	Amazona_vittata_708	Avihepadnavirus	KB283071.1	50.847	62	-	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Ara_macao_2469	Ara_macao_2469	Ara_macao_2469	Avihepadnavirus	KE081770.1	53.571	117	-	Ara	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Ara_macao_5222	Ara_macao_5222	Ara_macao_5222	Avihepadnavirus	KE064505.1	60	110	-	Ara	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Gallirallus_okinawae_810	Gallirallus_okinawae_810	Gallirallus_okinawae_810	Avihepadnavirus	BDFH01357851.1	79.412	64	-	Gallirallus	Rallidae	Gruiformes	Neoaves	none	none
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Gavia_stellata_5282	Gavia_stellata_5282	Gavia_stellata_5282	Avihepadnavirus	scaffold48443	64.651	459	-	Gavia	Gaviidae	Gaviiformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Melopsittacus_undulatus_4454	Melopsittacus_undulatus_4454	Melopsittacus_undulatus_4454	Avihepadnavirus	JH556633	51.087	92	-	Melopsittacus	Psittaculidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_271	Nannopterum_brasilianus_271	Nannopterum_brasilianus_271	Avihepadnavirus	NFME01125822.1	85.294	69	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_872	Nannopterum_brasilianus_872	Nannopterum_brasilianus_872	Avihepadnavirus	NFME01002628.1	71.111	71	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Picoides_pubescens_5462	Picoides_pubescens_5462	Picoides_pubescens_5462	Avihepadnavirus	scaffold209	42.949	98	-	Picoides	Picidae	Piciformes	Neoaves	Inopaves	Coraciimorphae
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Psittacula_krameri_2881	Psittacula_krameri_2881	Psittacula_krameri_2881	Avihepadnavirus	NFZL01002248.1	72.727	121	-	Psittacula	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Uria_lomvia_3717	Uria_lomvia_3717	Uria_lomvia_3717	Avihepadnavirus	NOXD01000034.1	65.714	92	-	Uria	Alcidae	Charadriiformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.15-gaviiformes/member/fasta-digs-ehbv/Urile_pelagicus_1139	Urile_pelagicus_1139	Urile_pelagicus_1139	Avihepadnavirus	NFMD01000834.1	71.111	71	-	Urile	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
