taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Actinemys_marmorata_27165	Actinemys_marmorata_27165	Actinemys_marmorata_27165	Herpetohepadnavirus	ML756179.1	92.593	200	Actinemys marmorata	Actinemys	Emydidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Apalone_spinifera_8054	Apalone_spinifera_8054	Apalone_spinifera_8054	Herpetohepadnavirus	KB930033.1	57.944	114	Apalone spinifera	Apalone	Trionychidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Chelonia_mydas_23168	Chelonia_mydas_23168	Chelonia_mydas_23168	Herpetohepadnavirus	gi|588870076|ref|NW_006625410.1|	85.027	323	Chelonia mydas	Chelonia	Cheloniidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Chelonoidis_abingdonii_27168	Chelonoidis_abingdonii_27168	Chelonoidis_abingdonii_27168	Herpetohepadnavirus	PKMU01003733.1	75.188	190	Chelonoidis abingdonii	Chelonoidis	Testudinidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Chelydra_serpentina_27169	Chelydra_serpentina_27169	Chelydra_serpentina_27169	Herpetohepadnavirus	ML689130.1	75.472	231	Chelydra serpentina	Chelydra	Chelydridae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Chrysemys_picta_27170	Chrysemys_picta_27170	Chrysemys_picta_27170	Herpetohepadnavirus	JH584871	57.014	208	Chrysemys picta	Chrysemys	Emydidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Cuora_amboinensis_27179	Cuora_amboinensis_27179	Cuora_amboinensis_27179	Herpetohepadnavirus	ML138711.1	66.667	172	Cuora amboinensis	Cuora	Geoemydidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Cuora_mccordi_8061	Cuora_mccordi_8061	Cuora_mccordi_8061	Herpetohepadnavirus	ML123166.1	68.966	145	Cuora mccordi	Cuora	Geoemydidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Dermatemys_mawii_23181	Dermatemys_mawii_23181	Dermatemys_mawii_23181	Herpetohepadnavirus	ML677351.1	77.907	139	Dermatemys mawii	Dermatemys	Dermatemydidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Dermochelys_coriacea_23182	Dermochelys_coriacea_23182	Dermochelys_coriacea_23182	Herpetohepadnavirus	ML640236.1	81.308	176	Dermochelys coriacea	Dermochelys	Dermochelyidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Emydura_subglobosa_8065	Emydura_subglobosa_8065	Emydura_subglobosa_8065	Herpetohepadnavirus	ML679973.1	51.948	123	Emydura subglobosa	Emydura	Chelidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Gopherus_agassizii_23185	Gopherus_agassizii_23185	Gopherus_agassizii_23185	Herpetohepadnavirus	PPEB01000308.1	66.912	171	Gopherus agassizii	Gopherus	Testudinidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Gopherus_evgoodei_23186	Gopherus_evgoodei_23186	Gopherus_evgoodei_23186	Herpetohepadnavirus	CM017296.1	66.912	171	Gopherus evgoodei	Gopherus	Testudinidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Malaclemys_terrapin_terrapin_8076	Malaclemys_terrapin_terrapin_8076	Malaclemys_terrapin_terrapin_8076	Herpetohepadnavirus	MDXI01006960.1	64.331	187	Malaclemys terrapin terrapin	Malaclemys	Emydidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Pelodiscus_sinensis_8078	Pelodiscus_sinensis_8078	Pelodiscus_sinensis_8078	Herpetohepadnavirus	JH212837.1	52.532	137	Pelodiscus sinensis	Pelodiscus	Trionychidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Pelodiscus_sinensis_8079	Pelodiscus_sinensis_8079	Pelodiscus_sinensis_8079	Herpetohepadnavirus	JH212837.1	52.532	137	Pelodiscus sinensis	Pelodiscus	Trionychidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Platysternon_megacephalum_27193	Platysternon_megacephalum_27193	Platysternon_megacephalum_27193	Herpetohepadnavirus	QXTE01000132.1	77.778	302	Platysternon megacephalum	Platysternon	Platysternidae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Podocnemis_expansa_8081	Podocnemis_expansa_8081	Podocnemis_expansa_8081	Herpetohepadnavirus	ML682018.1	51.818	93	Podocnemis expansa	Podocnemis	Podocnemididae	Testudines
alignment/AL_EHBV-herpeto.5-testudines/member/fasta-digs-ehbv/Terrapene_mexicana_triunguis_27199	Terrapene_mexicana_triunguis_27199	Terrapene_mexicana_triunguis_27199	Herpetohepadnavirus	PRFB01002295.1	94.495	213	Terrapene mexicana triunguis	Terrapene	Emydidae	Testudines
