taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order	host_major_clade	host_middle_clade	host_minor_clade
alignment/AL_EHBV-avi.12-anseriformes/member/fasta-digs-ehbv/Anas_platyrhynchos_4849	Anas_platyrhynchos_4849	Anas_platyrhynchos_4849	Avihepadnavirus	KB783955.1	100	76	Anas_platyrhynchos	Anas	Anatidae	Anseriformes	Galloanserae	none	none
alignment/AL_EHBV-avi.12-anseriformes/member/fasta-digs-ehbv/Anas_platyrhynchos_4850	Anas_platyrhynchos_4850	Anas_platyrhynchos_4850	Avihepadnavirus	KB813072.1	77.632	215	Anas_platyrhynchos	Anas	Anatidae	Anseriformes	Galloanserae	none	none
alignment/AL_EHBV-avi.12-anseriformes/member/fasta-digs-ehbv/Anas_platyrhynchos_4851	Anas_platyrhynchos_4851	Anas_platyrhynchos_4851	Avihepadnavirus	KB746102.1	59.722	143	Anas_platyrhynchos	Anas	Anatidae	Anseriformes	Galloanserae	none	none
alignment/AL_EHBV-avi.12-anseriformes/member/fasta-digs-ehbv/Anas_platyrhynchos_4852	Anas_platyrhynchos_4852	Anas_platyrhynchos_4852	Avihepadnavirus	KB784578.1	98	106	Anas_platyrhynchos	Anas	Anatidae	Anseriformes	Galloanserae	none	none
alignment/AL_EHBV-avi.12-anseriformes/member/fasta-digs-ehbv/Anas_platyrhynchos_4853	Anas_platyrhynchos_4853	Anas_platyrhynchos_4853	Avihepadnavirus	C18126202	100	76	Anas_platyrhynchos	Anas	Anatidae	Anseriformes	Galloanserae	none	none
alignment/AL_EHBV-avi.12-anseriformes/member/fasta-digs-ehbv/Anas_platyrhynchos_4854	Anas_platyrhynchos_4854	Anas_platyrhynchos_4854	Avihepadnavirus	scaffold3733	59.722	143	Anas_platyrhynchos	Anas	Anatidae	Anseriformes	Galloanserae	none	none
alignment/AL_EHBV-avi.12-anseriformes/member/fasta-digs-ehbv/Anas_platyrhynchos_4855	Anas_platyrhynchos_4855	Anas_platyrhynchos_4855	Avihepadnavirus	C19237742	77.632	215	Anas_platyrhynchos	Anas	Anatidae	Anseriformes	Galloanserae	none	none
alignment/AL_EHBV-avi.12-anseriformes/member/fasta-digs-ehbv/Anas_platyrhynchos_4856	Anas_platyrhynchos_4856	Anas_platyrhynchos_4856	Avihepadnavirus	C18139412	98	106	Anas_platyrhynchos	Anas	Anatidae	Anseriformes	Galloanserae	none	none
alignment/AL_EHBV-avi.12-anseriformes/member/fasta-digs-ehbv/Anas_zonorhyncha_5192	Anas_zonorhyncha_5192	Anas_zonorhyncha_5192	Avihepadnavirus	NOIK01000496.1	72.146	293	Anas_zonorhyncha	Anas	Anatidae	Anseriformes	Galloanserae	none	none
alignment/AL_EHBV-avi.12-anseriformes/member/fasta-digs-ehbv/Anas_zonorhyncha_5193	Anas_zonorhyncha_5193	Anas_zonorhyncha_5193	Avihepadnavirus	NOIK01000496.1	62.5	229	Anas_zonorhyncha	Anas	Anatidae	Anseriformes	Galloanserae	none	none
alignment/AL_EHBV-avi.12-anseriformes/member/fasta-digs-ehbv/Anser_brachyrhynchus_5195	Anser_brachyrhynchus_5195	Anser_brachyrhynchus_5195	Avihepadnavirus	NXHY01000420.1	83.146	439	Anser_brachyrhynchus	Anser	Anatidae	Anseriformes	Galloanserae	none	none
alignment/AL_EHBV-avi.12-anseriformes/member/fasta-digs-ehbv/Anser_cygnoides_5197	Anser_cygnoides_5197	Anser_cygnoides_5197	Avihepadnavirus	gi|901923397|ref|NW_013186024.1|	83.146	437	Anser_cygnoides	Anser	Anatidae	Anseriformes	Galloanserae	none	none
