taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order	host_major_clade	host_middle_clade	host_minor_clade
alignment/AL_EHBV-avi.11-tyto/member/fasta-digs-ehbv/Agapornis_roseicollis_4827	Agapornis_roseicollis_4827	Agapornis_roseicollis_4827	Avihepadnavirus	NDXB01010905.1	70.968	99	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.11-tyto/member/fasta-digs-ehbv/Amazona_aestiva_4836	Amazona_aestiva_4836	Amazona_aestiva_4836	Avihepadnavirus	LMAW01000736.1	58.108	88	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.11-tyto/member/fasta-digs-ehbv/Amazona_aestiva_4838	Amazona_aestiva_4838	Amazona_aestiva_4838	Avihepadnavirus	LMAW01002113.1	66.071	86	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.11-tyto/member/fasta-digs-ehbv/Amazona_vittata_4844	Amazona_vittata_4844	Amazona_vittata_4844	Avihepadnavirus	KB273802.1	62.5	82	Amazona_vittata	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.11-tyto/member/fasta-digs-ehbv/Amazona_vittata_4846	Amazona_vittata_4846	Amazona_vittata_4846	Avihepadnavirus	KB247749.1	58.108	88	Amazona_vittata	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.11-tyto/member/fasta-digs-ehbv/Amazona_vittata_59	Amazona_vittata_59	Amazona_vittata_59	Avihepadnavirus	KB271482.1	60.784	70	Amazona_vittata	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.11-tyto/member/fasta-digs-ehbv/Anas_platyrhynchos_73	Anas_platyrhynchos_73	Anas_platyrhynchos_73	Avihepadnavirus	KB775989.1	84.848	64	Anas_platyrhynchos	Anas	Anatidae	Anseriformes	Galloanserae	none	none
alignment/AL_EHBV-avi.11-tyto/member/fasta-digs-ehbv/Anas_platyrhynchos_80	Anas_platyrhynchos_80	Anas_platyrhynchos_80	Avihepadnavirus	C17984075	84.848	64	Anas_platyrhynchos	Anas	Anatidae	Anseriformes	Galloanserae	none	none
alignment/AL_EHBV-avi.11-tyto/member/fasta-digs-ehbv/Ara_macao_5212	Ara_macao_5212	Ara_macao_5212	Avihepadnavirus	KE047159.1	76.364	100	Ara_macao	Ara	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.11-tyto/member/fasta-digs-ehbv/Athene_cunicularia_4877	Athene_cunicularia_4877	Athene_cunicularia_4877	Avihepadnavirus	QEEU01000006.1	77.333	116	Athene_cunicularia	Athene	Strigidae	Strigiformes	Neoaves	none	none
