taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-avi.46-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_27307	Agapornis_roseicollis_27307	Agapornis_roseicollis_27307	Avihepadnavirus	NDXB01010905.1	83.333	130	Agapornis roseicollis	Agapornis	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.46-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_4836	Amazona_aestiva_4836	Amazona_aestiva_4836	Avihepadnavirus	LMAW01000736.1	77.966	99	Amazona aestiva	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.46-psittaciformes/member/fasta-digs-ehbv/Amazona_vittata_4846	Amazona_vittata_4846	Amazona_vittata_4846	Avihepadnavirus	KB247749.1	77.966	99	Amazona vittata	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.46-psittaciformes/member/fasta-digs-ehbv/Ara_macao_5212	Ara_macao_5212	Ara_macao_5212	Avihepadnavirus	KE047159.1	84.746	112	Ara macao	Ara	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.46-psittaciformes/member/fasta-digs-ehbv/Eupsittula_pertinax_28642	Eupsittula_pertinax_28642	Eupsittula_pertinax_28642	Avihepadnavirus	WUQE01000756.1	86.441	112	Eupsittula pertinax	Eupsittula	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.46-psittaciformes/member/fasta-digs-ehbv/Guaruba_guarouba_28680	Guaruba_guarouba_28680	Guaruba_guarouba_28680	Avihepadnavirus	JAABOC010000638.1	86.441	114	Guaruba guarouba	Guaruba	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.46-psittaciformes/member/fasta-digs-ehbv/Melopsittacus_undulatus_5336	Melopsittacus_undulatus_5336	Melopsittacus_undulatus_5336	Avihepadnavirus	JH556599	87.5	110	Melopsittacus undulatus	Melopsittacus	Psittaculidae	Psittaciformes
alignment/AL_EHBV-avi.46-psittaciformes/member/fasta-digs-ehbv/Nestor_notabilis_27421	Nestor_notabilis_27421	Nestor_notabilis_27421	Avihepadnavirus	scaffold11426	71.951	118	Nestor notabilis	Nestor	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.46-psittaciformes/member/fasta-digs-ehbv/Pionus_senilis_28695	Pionus_senilis_28695	Pionus_senilis_28695	Avihepadnavirus	WURU01047708.1	74.138	88	Pionus senilis	Pionus	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.46-psittaciformes/member/fasta-digs-ehbv/Psittacula_krameri_27448	Psittacula_krameri_27448	Psittacula_krameri_27448	Avihepadnavirus	NFZL01001029.1	89.744	213	Psittacula krameri	Psittacula	Psittacidae	Psittaciformes
