taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_2065	Agapornis_roseicollis_2065	Agapornis_roseicollis_2065	Avihepadnavirus	NDXB01018971.1	47.328	112	Agapornis roseicollis	Agapornis	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_27309	Agapornis_roseicollis_27309	Agapornis_roseicollis_27309	Avihepadnavirus	NDXB01013464.1	78.421	298	Agapornis roseicollis	Agapornis	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_4259	Agapornis_roseicollis_4259	Agapornis_roseicollis_4259	Avihepadnavirus	NDXB01009325.1	74.101	212	Agapornis roseicollis	Agapornis	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_4830	Agapornis_roseicollis_4830	Agapornis_roseicollis_4830	Avihepadnavirus	NDXB01001693.1	89.744	285	Agapornis roseicollis	Agapornis	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_2092	Amazona_aestiva_2092	Amazona_aestiva_2092	Avihepadnavirus	LMAW01002567.1	74.112	289	Amazona aestiva	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_27312	Amazona_aestiva_27312	Amazona_aestiva_27312	Avihepadnavirus	LMAW01003211.1	85.034	245	Amazona aestiva	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_4281	Amazona_aestiva_4281	Amazona_aestiva_4281	Avihepadnavirus	LMAW01001958.1	78.261	224	Amazona aestiva	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_5165	Amazona_aestiva_5165	Amazona_aestiva_5165	Avihepadnavirus	LMAW01002945.1	78.417	223	Amazona aestiva	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Amazona_vittata_2099	Amazona_vittata_2099	Amazona_vittata_2099	Avihepadnavirus	KB258402.1	61.765	117	Amazona vittata	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Amazona_vittata_2102	Amazona_vittata_2102	Amazona_vittata_2102	Avihepadnavirus	KB237619.1	78.226	189	Amazona vittata	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Amazona_vittata_2118	Amazona_vittata_2118	Amazona_vittata_2118	Avihepadnavirus	KB256955.1	78.302	168	Amazona vittata	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Amazona_vittata_4290	Amazona_vittata_4290	Amazona_vittata_4290	Avihepadnavirus	KB257234.1	79.71	226	Amazona vittata	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Ara_macao_2156	Ara_macao_2156	Ara_macao_2156	Avihepadnavirus	KE026841.1	75.661	273	Ara macao	Ara	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.49-psittaciformes/member/fasta-digs-ehbv/Ara_macao_27331	Ara_macao_27331	Ara_macao_27331	Avihepadnavirus	AOUJ01009767.1	87.264	366	Ara macao	Ara	Psittacidae	Psittaciformes
