taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order	host_major_clade	host_middle_clade	host_minor_clade
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Agapornis_roseicollis_3295	Agapornis_roseicollis_3295	Agapornis_roseicollis_3295	Avihepadnavirus	NDXB01011279.1	59.259	126	-	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Agapornis_roseicollis_3752	Agapornis_roseicollis_3752	Agapornis_roseicollis_3752	Avihepadnavirus	NDXB01001785.1	75	88	-	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Agapornis_roseicollis_4268	Agapornis_roseicollis_4268	Agapornis_roseicollis_4268	Avihepadnavirus	NDXB01004212.1	56.25	146	-	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Amazona_vittata_5177	Amazona_vittata_5177	Amazona_vittata_5177	Avihepadnavirus	AOCU01035501.1	66.102	81	-	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Erythrura_gouldiae_5267	Erythrura_gouldiae_5267	Erythrura_gouldiae_5267	Avihepadnavirus	QUSF01000039.1	49.073	449	-	Erythrura	Estrildidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Junco_hyemalis_3134	Junco_hyemalis_3134	Junco_hyemalis_3134	Avihepadnavirus	QZWM01003579.1	53.933	79	-	Junco	Passerellidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Lonchura_striata_domestica_5313	Lonchura_striata_domestica_5313	Lonchura_striata_domestica_5313	Avihepadnavirus	NW_018657257.1	59.211	97	-	Lonchura	Estrildidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Lonchura_striata_domestica_5320	Lonchura_striata_domestica_5320	Lonchura_striata_domestica_5320	Avihepadnavirus	NW_018654989.1	59.211	97	-	Lonchura	Estrildidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Melopsittacus_undulatus_5326	Melopsittacus_undulatus_5326	Melopsittacus_undulatus_5326	Avihepadnavirus	JH556420	62.105	120	-	Melopsittacus	Psittaculidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Passer_domesticus_5405	Passer_domesticus_5405	Passer_domesticus_5405	Avihepadnavirus	CM004529.1	48.159	546	-	Passer	Passeridae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Psittacula_krameri_4139	Psittacula_krameri_4139	Psittacula_krameri_4139	Avihepadnavirus	NFZL01000311.1	69.811	82	-	Psittacula	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Psittacula_krameri_5483	Psittacula_krameri_5483	Psittacula_krameri_5483	Avihepadnavirus	NFZL01000259.1	100	190	-	Psittacula	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Psittacula_krameri_5484	Psittacula_krameri_5484	Psittacula_krameri_5484	Avihepadnavirus	NFZL01070680.1	98.81	175	-	Psittacula	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Psittacula_krameri_5485	Psittacula_krameri_5485	Psittacula_krameri_5485	Avihepadnavirus	NFZL01000259.1	98.134	1032	-	Psittacula	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Taeniopygia_guttata_5528	Taeniopygia_guttata_5528	Taeniopygia_guttata_5528	Avihepadnavirus	chrZ	50.412	490	-	Taeniopygia	Estrildidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Zonotrichia_albicollis_4245	Zonotrichia_albicollis_4245	Zonotrichia_albicollis_4245	Avihepadnavirus	gi|538531274|ref|NW_005085254.1|	54.545	55	-	Zonotrichia	Passerellidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Zonotrichia_albicollis_5563	Zonotrichia_albicollis_5563	Zonotrichia_albicollis_5563	Avihepadnavirus	gi|538540293|ref|NW_005082144.1|	58.252	108	-	Zonotrichia	Passerellidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.29-psittacula/member/fasta-digs-ehbv/Zonotrichia_albicollis_5566	Zonotrichia_albicollis_5566	Zonotrichia_albicollis_5566	Avihepadnavirus	gi|538541992|ref|NW_005081669.1|	56.18	90	-	Zonotrichia	Passerellidae	Passeriformes	Neoaves	Inopaves	Australiaves
