taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order	host_major_clade	host_middle_clade	host_minor_clade
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_4259	Agapornis_roseicollis_4259	Agapornis_roseicollis_4259	Avihepadnavirus	NDXB01009325.1	69.784	175	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_4828	Agapornis_roseicollis_4828	Agapornis_roseicollis_4828	Avihepadnavirus	NDXB01013464.1	74.227	143	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_4830	Agapornis_roseicollis_4830	Agapornis_roseicollis_4830	Avihepadnavirus	NDXB01001693.1	66.667	108	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_2081	Amazona_aestiva_2081	Amazona_aestiva_2081	Avihepadnavirus	LMAW01003211.1	63.636	107	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_2092	Amazona_aestiva_2092	Amazona_aestiva_2092	Avihepadnavirus	LMAW01002567.1	66.429	169	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_4281	Amazona_aestiva_4281	Amazona_aestiva_4281	Avihepadnavirus	LMAW01001958.1	74.638	196	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_4834	Amazona_aestiva_4834	Amazona_aestiva_4834	Avihepadnavirus	LMAW01002739.1	97.403	156	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_4835	Amazona_aestiva_4835	Amazona_aestiva_4835	Avihepadnavirus	LMAW01003033.1	73.438	97	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_50	Amazona_aestiva_50	Amazona_aestiva_50	Avihepadnavirus	LMAW01003211.1	61.404	73	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_5165	Amazona_aestiva_5165	Amazona_aestiva_5165	Avihepadnavirus	LMAW01002945.1	72.662	186	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_vittata_2099	Amazona_vittata_2099	Amazona_vittata_2099	Avihepadnavirus	KB258402.1	61.765	104	Amazona_vittata	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_vittata_2101	Amazona_vittata_2101	Amazona_vittata_2101	Avihepadnavirus	KB278478.1	63.636	108	Amazona_vittata	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_vittata_2102	Amazona_vittata_2102	Amazona_vittata_2102	Avihepadnavirus	KB237619.1	67.742	145	Amazona_vittata	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_vittata_2118	Amazona_vittata_2118	Amazona_vittata_2118	Avihepadnavirus	KB256955.1	70	121	Amazona_vittata	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_vittata_4290	Amazona_vittata_4290	Amazona_vittata_4290	Avihepadnavirus	KB257234.1	73.913	194	Amazona_vittata	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_vittata_4841	Amazona_vittata_4841	Amazona_vittata_4841	Avihepadnavirus	KB275909.1	71.429	110	Amazona_vittata	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.26-psittaciformes/member/fasta-digs-ehbv/Amazona_vittata_4843	Amazona_vittata_4843	Amazona_vittata_4843	Avihepadnavirus	KB257602.1	100	174	Amazona_vittata	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
