taxon	sequenceID	name	genus	core_shift	variable_region_type	clade	isolate	host_sci_name	host_common_name	sample_date	country
alignment/AL_GENUS_Ortho/member/ncbi-refseqs/MH307930	MH307930	DCHBV	Orthohepadnavirus	N/A	ortho-type 4	-	Sydney2016	Felis catus	-	-	Australia
alignment/AL_GENUS_Ortho/member/ncbi-refseqs/NC_001484	NC_001484	GSHV	Orthohepadnavirus	N/A	ortho-type-2	-	-	Spermophilus beecheyi	-	-	-
alignment/AL_GENUS_Ortho/member/ncbi-refseqs/NC_003977	NC_003977	HBV	Orthohepadnavirus	N/A	ortho-type-1	Primate	-	Homo sapiens	-	-	-
alignment/AL_GENUS_Ortho/member/ncbi-refseqs/NC_004107	NC_004107	WhBv	Orthohepadnavirus	N/A	ortho-type-2	-	-	Marmota monax	-	-	-
alignment/AL_GENUS_Ortho/member/ncbi-refseqs/NC_020881	NC_020881	LfbHBV	Orthohepadnavirus	N/A	ortho-type-6	-	776	Miniopterus fuliginosus	-	-	Myanmar
alignment/AL_GENUS_Ortho/member/ncbi-refseqs/NC_024443	NC_024443	RlbHBV	Orthohepadnavirus	N/A	ortho-type-6	-	RBHBV/GB09-256/Hip_rub/GAB/2009	Hipposideros cf. ruber	-	-	Gabon
alignment/AL_GENUS_Ortho/member/ncbi-refseqs/NC_024444	NC_024444	HsbHBV	Orthohepadnavirus	N/A	ortho-type-6	-	HBHBV/GB09-403/Rhi_alc/GAB/2009	Rhinolophus alcyone	-	-	Gabon
alignment/AL_GENUS_Ortho/member/ncbi-refseqs/NC_024445	NC_024445	TBHBV	Orthohepadnavirus	N/A	ortho-type-2a	-	TBHBV/Pan372/Uro_bil/PAN/2010	Uroderma bilobatum	-	-	Panama
alignment/AL_GENUS_Ortho/member/ncbi-refseqs/NC_028129	NC_028129	WMHBV	Orthohepadnavirus	N/A	ortho-type-1	Primate	-	Lagothrix lagothricha 	-	-	-
alignment/AL_GENUS_Ortho/member/ncbi-refseqs/U29144	U29144	ASHV	Orthohepadnavirus	N/A	ortho-type-2	-	-	Spermophilus parryii	-	-	-
