sequenceID	locus_name	virus_genus	full_name	locus_id	locus_numeric_id	structure	start gene	start_codon	nearest_upstream_orf	nearest_downstream_orf	family	host_group_name	core_shift	variable_region_type
ehbv-herpeto.1-serpentes-con	herpeto.1-serpentes	Herpetohepadnavirus	Endogenous herpetohepadnavirus 1	ehbv-herpeto.1-serpentes-con	1				TSHZ1	ZNF516	Hepadnaviridae	Serpentes	N/A	ND
ehbv-herpeto.2-serpentes-con	herpeto.2-serpentes	Herpetohepadnavirus	Endogenous herpetohepadnavirus 2	ehbv-herpeto.2-serpentes-con	2				NK	NK	Hepadnaviridae	Serpentes	N/A	herpeto-type-3-serpentes
ehbv-herpeto.3-crocodilia	herpeto.3-crocodilia	Herpetohepadnavirus	Endogenous herpetohepadnavirus 3	ehbv-herpeto.3-crocodilia-con	3				NK	NK	Hepadnaviridae	Crocodilia	N/A	herpeto-type-4-croc
ehbv-herpeto.4-crocodilia	herpeto.4-crocodilia	Herpetohepadnavirus	Endogenous herpetohepadnavirus 4	ehbv-herpeto.4-crocodilia-con	4				NK	NK	Hepadnaviridae	Crocodilia	N/A	herpeto-type-4-croc
ehbv-herpeto.5-testudines-con	herpeto.5-testudines	Herpetohepadnavirus	Endogenous herpetohepadnavirus 5	ehbv-herpeto.5-testudines-con	5				NK	NK	Hepadnaviridae	Testudines	N/A	herpeto-type-3-serpentes
ehbv-herpeto.6-varanus	herpeto.6-varanus	Herpetohepadnavirus	Endogenous herpetohepadnavirus 6	ehbv-herpeto.6-varanus	6				WSCD2 (intronic)	WSCD2 (intronic)	Hepadnaviridae	Varanus	N/A	herpeto-type-2
ehbv-herpeto.7-serpentes-con	herpeto.7-serpentes	Herpetohepadnavirus	Endogenous herpetohepadnavirus 9	ehbv-herpeto.7-serpentes-con	9				NK	NK	Hepadnaviridae	Serpentes	N/A	herpeto-type-3-serpentes
ehbv-herpeto.8-serpentes-con	herpeto.8-serpentes	Herpetohepadnavirus	Endogenous herpetohepadnavirus 8	ehbv-herpeto.8-serpentes-con	8				NK	NK	Hepadnaviridae	Serpentes	N/A	herpeto-type-3-serpentes
ehbv-meta.1-sauria-con	meta.1-sauria	Metahepadnavirus	Endogenous metahepadnavirus 1	ehbv-meta.1-sauria	1				KLF8	ENSACUG00000005807	Hepadnaviridae	Sauropsids	N/A	meta-type-5
ehbv-meta.2-varanus	meta.2-varanus	Metahepadnavirus	Endogenous metahepadnavirus 2	ehbv-meta.2-varanus	2				NK	NK	Hepadnaviridae	Varanus	N/A	meta-type-6
ehbv-meta.3-paroedura	meta.3-paroedura	Metahepadnavirus	Endogenous metahepadnavirus 3	ehbv-meta.3-paroedura	3				NK	NK	Hepadnaviridae	Paroedura	N/A	ND
ehbv-meta.4-pelusios	meta.4-pelusios	Metahepadnavirus	Endogenous metahepadnavirus 4	ehbv-meta.4-pelusios	4				LCP1	RUBCNL	Hepadnaviridae	Pelusios	N/A	ND
ehbv-meta.5-pelusios	meta.5-pelusios	Metahepadnavirus	Endogenous metahepadnavirus 5	ehbv-meta.5-pelusios	5				NTF3	KCNA5	Hepadnaviridae	Pelusios	N/A	ND
ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	Endogenous avihepadnavirus 1	ehbv-avi.1-neoaves	1	complete	Core	1	FRY (intronic)	FRY (intronic)	Hepadnaviridae	Neoaves	N/A	avi-1-modern
ehbv-avi.2-estrildidae	avi.2-estrildidae	Avihepadnavirus	Endogenous avihepadnavirus 2	ehbv-avi.2-estrildidae	2	fragment	nd	nd	ENSTGUG00000000478	LRRC2	Hepadnaviridae	Estrildidae	N/A	ND
ehbv-avi.3-passeriformes	avi.3-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 3	ehbv-avi.3-passeriformes	3	fragment	nd	nd	SCN3B (intronic)	SCN3B (intronic)	Hepadnaviridae	Passeriformes	N/A	ND
ehbv-avi.4-passeriformes	avi.4-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 4	ehbv-avi.4-passeriformes	4	fragment	nd	nd	ENSTGUG00000004184 (intronic)	ENSTGUG00000004184 (intronic)	Hepadnaviridae	Passeriformes	N/A	ND
ehbv-avi.5-passeriformes-unranked	avi.5-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 5	ehbv-avi.5-unranked	5	fragment	nd	nd	LMO3	MGST1	Hepadnaviridae	Passeriformes	N/A	ND
ehbv-avi.6-passeriformes	avi.6-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 6	ehbv-avi.6-passeriformes	6	fragment	nd	nd	FOXD3	ATG4C	Hepadnaviridae	Passeriformes	N/A	ND
ehbv-avi.7-passeriformes	avi.7-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 7	ehbv-avi.7-passeriformes	7	fragment	nd	nd	SNORA13	LIG3	Hepadnaviridae	Passeriformes	N/A	ND
ehbv-avi.8-australiaves	avi.8-australiaves	Avihepadnavirus	Endogenous avihepadnavirus 8	ehbv-avi.8-australiaves	8	fragment	nd	nd	ATP2B2 (intronic)	ATP2B2 (intronic)	Hepadnaviridae	Australiaves	N/A	ND
ehbv-avi.9-melopsittacus	avi.9-melopsittacus	Avihepadnavirus	Endogenous avihepadnavirus 9	ehbv-avi.9-melopsittacus	9	complete			Get from paper	Get from paper	Hepadnaviridae	Melopsittacus	N/A	avi-1-modern
ehbv-avi.10-melopsittacus	avi.10-melopsittacus	Avihepadnavirus	Endogenous avihepadnavirus 10	ehbv-avi.10-melopsittacus	10	complete			Get from paper	Get from paper	Hepadnaviridae	Melopsittacus	N/A	avi-1-modern
ehbv-avi.11-tyto	avi.11-tyto	Avihepadnavirus	Endogenous avihepadnavirus 11	ehbv-avi.11-tyto	11	complete			NAV3	E2F7	Hepadnaviridae	Tyto	N/A	avi-2-rails
ehbv-avi.12-anseriformes-con	avi.12-anseriformes	Avihepadnavirus	Endogenous avihepadnavirus 12	ehbv-avi.12-anseriformes-con	12	complete	Core	1	CCDC58 (intronic)	CCDC58 (intronic)	Hepadnaviridae	Anseriformes	N/A	ND
ehbv-avi.13-paleognathae-con	avi.13-paleognathae	Avihepadnavirus	Endogenous avihepadnavirus 13	ehbv-avi.13-paleognathea	13	fragment	nd	nd	ENSDNVG00000017897	BCKDHB	Hepadnaviridae	Paleognathae	N/A	ND
ehbv-avi.14-gaviiformes	avi.14-gaviiformes	Avihepadnavirus	Endogenous avihepadnavirus 14	ehbv-avi.14-gaviiformes	14	complete	Core	1	TAS1R3	DVL1	Hepadnaviridae	Gaviiformes	N/A	avi-2-rails
ehbv-avi.15-gaviiformes	avi.15-gaviiformes	Avihepadnavirus	Endogenous avihepadnavirus 15	ehbv-avi.15-gaviiformes	15	complete	Core	1	TMEM182 (intronic)	TMEM182 (intronic)	Hepadnaviridae	Gaviiformes	N/A	avi-2-rails
ehbv-avi.16-turaco	avi.16-turaco	Avihepadnavirus	Endogenous avihepadnavirus 16	ehbv-avi.16-turaco	16	fragment	nd	nd	TMEM8B	ENSACUG00000013925	Hepadnaviridae	Turaco	N/A	ND
ehbv-avi.17-passeriformes-con	avi.17-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 17	ehbv-avi.17-Passeriformes	17	complete			TIMM21/FBXO15	NETO1/CBLN2/lncRNA	Hepadnaviridae	Passeriformes	N/A	ND
ehbv-avi.18-calypte	avi.18-calypte	Avihepadnavirus	Endogenous avihepadnavirus 18	ehbv-avi.18-calypte	18	complete			ENSSCUG00000017518 (intronic)/TSKU	ENSSCUG00000017518 (intronic)/EMSY	Hepadnaviridae	Calypte	N/A	ND
ehbv-avi.35-passer	avi.35-passer	Avihepadnavirus	Endogenous avihepadnavirus 35	ehbv-avi.35-passer	35	complete			NK	NK	Hepadnaviridae	Passer	N/A	avi-4
ehbv-avi.19-buceros	avi.19-buceros	Avihepadnavirus	Endogenous avihepadnavirus 19	ehbv-avi.19-Buceros	19	complete			PCDH18	PCDH10	Hepadnaviridae	Buceros	N/A	avi-1-rhinobird
ehbv-avi.20-cariama	avi.20-cariama	Avihepadnavirus	Endogenous avihepadnavirus 20	ehbv-avi.20-Cariama	20				THBS1	KATNBL1	Hepadnaviridae	Cariama	N/A	avi-3
ehbv-avi.21-paleognathae-con	avi.21-paleognathae	Avihepadnavirus	Endogenous avihepadnavirus 21	ehbv-avi.21-Paleognathea	21	fragment			ENSDNVG00000004794/LMCD1	GRM7	Hepadnaviridae	Paleognathae	N/A	ND
ehbv-avi.22-tyto	avi.22-tyto	Avihepadnavirus	Endogenous avihepadnavirus 22	ehbv-avi.22-Tyto	22				MYBL2	PTPRT	Hepadnaviridae	Tyto	N/A	avi-6
ehbv-avi.23-psittaciformes	avi.23-psittaciformes	Avihepadnavirus	Endogenous avihepadnavirus 23	ehbv-avi.23-psittaciformes	23				OLFM4	NF	Hepadnaviridae	Psittaciformes	N/A	avi-6
ehbv-avi.24-apaloderma	avi.24-apaloderma	Avihepadnavirus	Endogenous avihepadnavirus 24	ehbv-avi.24-Apaloderma	24				CDH23 (intronic)	CDH23 (intronic)	Hepadnaviridae	Apaloderma	N/A	avi-3
ehbv-avi.25-chaetura	avi.25-chaetura	Avihepadnavirus	Endogenous avihepadnavirus 25	ehbv-avi.35-Chaetura	25	complete	Pol	523	ARMC1	CYP7B1	Hepadnaviridae	Chaetura	N/A	avi-3
ehbv-avi.26-psittaciformes	avi.26-psittaciformes	Avihepadnavirus	Endogenous avihepadnavirus 26	ehbv-avi.26-psittaciformes	26				ENSACOG00000002175	ENSACOG00000002296	Hepadnaviridae	Psittaciformes	N/A	ND
ehbv-avi.27-suliformes-con	avi.27-suliformes	Avihepadnavirus	Endogenous avihepadnavirus 27	ehbv-avi.27-suliformes-con	27	amp fragment			SUPT7L	ENSZALG00000002917	Hepadnaviridae	Suliformes	N/A	ND
ehbv-avi.28-alauda	avi.28-alauda	Avihepadnavirus	Endogenous avihepadnavirus 28	ehbv-avi.28-alauda	28	complete	Pol	745	EPHA6	NSUN3/ARL13B	Hepadnaviridae	Aauda	N/A	avi-1-modern
ehbv-avi.29-psittacula	avi.29-psittacula	Avihepadnavirus	Endogenous avihepadnavirus 29	ehbv-avi.29-psittacula	29				ENSMUNG00000011927/CHSY3	ENSMUNG00000011929/HINT1	Hepadnaviridae	Psittacula	N/A	avi-5
ehbv-avi.30-anseridae-con	avi.30-anseridae	Avihepadnavirus	Endogenous avihepadnavirus 30	ehbv-avi.30-anseridae-con	30				ENSACDG00005009727	CCDC58	Hepadnaviridae	Anseridae	N/A	ND
ehbv-avi.31-passeriformes-con	avi.31-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 31	ehbv-avi.31-passeriformes-con	31	complete			ENSTGUG00000000478	LRRC2	Hepadnaviridae	Passeriformes	N/A	avi-4
ehbv-avi.32-tinamiformes-con	avi.32-tinamiformes	Avihepadnavirus	Endogenous avihepadnavirus 32	ehbv-avi.32-tinamiformes-con	32				OLFM4	NF	Hepadnaviridae	Tinamiformes	N/A	ND
ehbv-avi.34-leptosomus	avi.34-leptosomus	Avihepadnavirus	Endogenous avihepadnavirus 34	ehbv-avi.34-leptosomus	34	fragment			LRRC2	NF	Hepadnaviridae	Leptosomidae	N/A	ND
ehbv-avi.35-calypte	avi.35-calypte	Avihepadnavirus	Endogenous avihepadnavirus 35	ehbv-avi.35-calypte	35				TIMM21/FBXO15	CYB5A	Hepadnaviridae	Calypte	N/A	ND
ehbv-avi.36-callipepla	avi.36-callipepla	Avihepadnavirus	Endogenous avihepadnavirus 36	ehbv-avi.36-callipepla	36				NF	NF	Hepadnaviridae	Callipepla	N/A	avi-5
ehbv-avi.37-phylloscopus	avi.37-phylloscopus	Avihepadnavirus	Endogenous avihepadnavirus 37	ehbv-avi.37-phylloscopus	37				EPHA3	ZNF654/C3orf38/N6AMT1	Hepadnaviridae	Phylloscopus	N/A	avi-4
ehbv-avi.38-passeriformes	avi.38-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 38	ehbv-avi.38-passeriformes	38				AAR2	ENSTGUG00000027480	Hepadnaviridae	passeriformes	N/A	ND
