sequenceID	record_ID	organism	assigned_name	locus_name	virus_genus	locus_numeric_id	sequence_length	assigned_gene	target_datatype	target_version	target_name	probe_type	scaffold	extract_start	extract_end	sequence_length	orientation	bitscore	identity	evalue_num	evalue_exp	subject_start	subject_end	query_start	query_end	align_len	gap_openings	mismatches	host_species	host_class	host_superorder	host_order	host_family	host_genus
Acanthisitta_chloris_27305	27305	Acanthisitta_chloris	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2323	polyprotein	low_coverage	bgi_2011-10-28	Acanthisitta_chloris.scaf.noBacterial.fa	ORF	scaffold27280	53118	55440	2323	+	230	52.117	0	1	350	644	483	1367	307	7	123	Acanthisitta chloris	Aves	Neognathae	Passeriformes	Acanthisittidae	Acanthisitta
Acridotheres_javanicus_27484	27484	Acridotheres_javanicus	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1530	polyprotein	low_coverage	ASM284967v1	GCA_002849675.1_ASM284967v1_genomic.fna	ORF	PEJO01000017.1	295613	297142	1530	+	395	58.4	7	130	622	989	436	1530	375	6	139	Acridotheres javanicus	Aves	Neognathae	Passeriformes	Sturnidae	Acridotheres
Agapornis_roseicollis_4832	4832	Agapornis_roseicollis	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	3087	polyprotein	low_coverage	ASM263189v1	GCA_002631895.1_ASM263189v1_genomic.fna	ORF	NDXB01015160.1	44801	47887	3087	-	197	76.596	1	80	849	989	2665	3087	141	0	33	Agapornis roseicollis	Aves	Neognathae	Psittaciformes	Psittacidae	Agapornis
Alauda_arvensis_28633	28633	Alauda_arvensis	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1040	polyprotein	low_coverage	skylark	GCA_902810485.1_skylark_genome_genomic.fna	ORF	CADDXX010000001.1	8261948	8262987	1040	+	212	64.773	1	95	800	974	513	1037	176	2	60	Alauda arvensis	Aves	Neognathae	Passeriformes	Alaudidae	Alauda
Amazona_aestiva_27493	27493	Amazona_aestiva	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2682	polyprotein	low_coverage	ASM142067v1	GCA_001420675.1_ASM142067v1_genomic.fa	ORF	LMAW01002613.1	656989	659670	2682	-	258	47.411	0	1	310	657	602	1630	367	12	150	Amazona aestiva	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona
Amazona_vittata_27498	27498	Amazona_vittata	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2701	polyprotein	low_coverage	AV1	GCA_000332375.1_AV1_genomic.fna	ORF	KB272672.1	8627	11327	2701	-	344	67.021	0	1	732	989	1871	2701	282	3	64	Amazona vittata	Aves	Neognathae	Psittaciformes	Psittacidae	Amazona
Antigone_vipio_27284	27284	Antigone_vipio	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2949	polyprotein	low_coverage	Gvipio_1.0	GCA_012488435.1_Gvipio_1.0_genomic.fna	ORF	BJEU01003050.1	82350	85298	2949	-	390	70.242	0	1	708	989	2110	2949	289	4	70	Antigone_vipio	Aves	Neognathae	Gruiformes	Gruidae	Antigone
Antrostomus_carolinensis_27508	27508	Antrostomus_carolinensis	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2915	polyprotein	low_coverage	bgi_2011-10-28	Antrostomus_carolinensis.scaf.noBacterial.fa	ORF	scaffold16207	67040	69954	2915	-	320	60.114	0	1	225	564	678	1697	351	8	118	Antrostomus carolinensis	Aves	Neognathae	Caprimulgiformes	Caprimulgidae	Caprimulgus
Apaloderma_vittatum_27510	27510	Apaloderma_vittatum	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2756	polyprotein	low_coverage	bgi_2011-10-28	Apaloderma_vittatum.scaf.noBacterial.fa	ORF	scaffold16435	88084	90839	2756	-	348	60.883	2	144	712	989	1833	2756	317	6	76	Apaloderma vittatum	Aves	Neognathae	Trogoniformes	Trogonidae	Apaloderma
Aptenodytes_forsteri_27512	27512	Aptenodytes_forsteri	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2950	polyprotein	low_coverage	bgi_2011-10-28	Aptenodytes_forsteri.scaf.fa	ORF	Scaffold155	5621938	5624887	2950	-	459	94.805	0	1	710	940	2110	2802	231	0	12	Aptenodytes forsteri	Aves	Neognathae	Sphenisciformes	Spheniscidae	Aptenodytes
