sequenceID	virus_name	virus_full_name	virus_family	virus_genus	clade	host_sci_name	host_common_name	host_group	core_shift	variable_region_type
NC_001344	DHBV	Duck hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Anas platyrhynchos	Domestic duck	Anseriformes	type-2	avi-1-modern
NC_001486	HHBV	Heron hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Ardea cinerea	Grey heron	Anseriformes	type-1	avi-1-modern
NC_016561	PaHBV	Parrot hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Psittacula krameri	Rose-ringed parakeet	Psittaciformes	type-1	avi-1-modern
NC_005888	RGHBV	Ross's goose hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Chen rossii	Ross's goose	Anseriformes	type-1	avi-1-modern
NC_005950	SGHBV	Snow goose hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Anser caerulescens	Snow goose	Anseriformes	type-2	avi-1-modern
NC_005890	SHBV	Sheldgoose hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Chloephaga poliocephala	Ashy-headed sheldgoose	Anseriformes	type-2	avi-1-modern
NC_035210	THBV	Tinamou hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Eudromia elegans 	Elegant crested tinamou	Tinamiformes	type-1	avi-1-modern
AJ441111	CCHBV	Crane hepatitis B virus 	Hepadnaviridae	Avihepadnavirus		Balearica regulorum	Grey crowned crane	Gruiformes	type-1	avi-1-modern
AJ251934	STHBV	Stork hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Ciconia ciconia	White stork	Ciconiiformes	type-1	avi-1-modern
NC_030446	tfHBV	Tibetan frog hepadnavirus	Hepadnaviridae	Herpetohepadnavirus		Nanorana parkeri	Tibetan frog	Amphibian	N/A	herpeto-type-1
SLHBV-1	SLHBV-1	Spiny lizard herpetohepadnavirus	Hepadnaviridae	Herpetohepadnavirus		Sceloporus adleri	Spiny lizard 	Reptilia	N/A	herpeto-type-1
SkHBV	SkHBV	Skink herpetohepadnavirus	Hepadnaviridae	Herpetohepadnavirus		Saproscincus basiliscus	Skink 	Reptilia	N/A	herpeto-type-2
NC_030445	bgHBV	Bluegill hepadnavirus	Hepadnaviridae	Metahepadnavirus		Lepomis macrochirus	Bluegill	Actinopteri	N/A	meta-type-1
MH716822	EsgHBV	Eastern sea garfish hepatitis B virus	Hepadnaviridae	Metahepadnavirus		Hyporhamphus australis	Eastern sea garfish	Actinopteri	N/A	meta-type-2
AMDV	AMDV	Astatotilapia metahepadnavirus	Hepadnaviridae	Metahepadnavirus		Astatotilapia sp	Astatotilapia	Actinopteri	N/A	meta-type-3
TMDV	TMDV	Tetra metahepadnavirus	Hepadnaviridae	Metahepadnavirus		Astyanax mexicanus	Mexican tetra	Actinopteri	N/A	meta-type-4
IMDV	IMDV	Icefish metahepadnavirus	Hepadnaviridae	Metahepadnavirus		Chionodraco hamatus	Crocodile icefish	Actinopteri	N/A	meta-type-4
OQ859059	ApHBV	Alewife metahepadnavirus	Hepadnaviridae	Metahepadnavirus		Alosa pseudoharengus	Alewife	Actinopteri	N/A	NK
NC_003977	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human	Supraprimates	N/A	ortho-type-1
NC_028129	WMHBV	Woolly monkey hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Lagothrix lagothricha 	Woolly monkey	Supraprimates	N/A	ortho-type-1
NC_001484	GSHV	Ground squirrel hepatitis virus	Hepadnaviridae	Orthohepadnavirus		Spermophilus beecheyi	California ground squirrel	Supraprimates	N/A	ortho-type-2
NC_024444	HsbHBV	Horseshoe bat hepatitis B virus	Hepadnaviridae	Orthohepadnavirus		Rhinolophus alcyone	Horseshoe bat	Laurasiatheria	N/A	ortho-type-6
NC_020881	LfbHBV	Long-fingered bat hepatitis B virus	Hepadnaviridae	Orthohepadnavirus		Miniopterus fuliginosus	Long-fingered bat	Laurasiatheria	N/A	ortho-type-6
NC_024443	RlbHBV	Roundleaf bat hepatitis B virus	Hepadnaviridae	Orthohepadnavirus		Hipposideros cf. ruber	Roundleaf bat	Laurasiatheria	N/A	ortho-type-6
NC_024445	TBHBV	Tent-making bat hepatitis B virus	Hepadnaviridae	Orthohepadnavirus		Hipposideros cf. ruber	Tent-making bat	Laurasiatheria	N/A	ortho-type-2a
NC_004107	WhBv	Woodchuck hepatitis virus	Hepadnaviridae	Orthohepadnavirus		Marmota monax	Woodchuck	Supraprimates	N/A	ortho-type-2
MH307930	DCHBV	Domestic cat hepadnavirus	Hepadnaviridae	Orthohepadnavirus		Felis catus	Domestic cat	Laurasiatheria	N/A	ortho-type 4
MZ201309	DDHBV	Domestic dog hepadnavirus	Hepadnaviridae	Orthohepadnavirus		Canis familiaris	Domestic dog	Laurasiatheria	N/A	NK
MH484442	ClHBV	Shrew hepatitis B virus	Hepadnaviridae	Orthohepadnavirus		Crocidura lasiura	Ussuri white-toothed shrew	Laurasiatheria	N/A	ortho-type 5
MK620908	TaiHBV	Tai Forest hepadnavirus	Hepadnaviridae	Orthohepadnavirus		Philantomba maxwellii	Maxwell's duiker	Laurasiatheria	N/A	ortho-type 3
MT134279	EqHBV	Equine hepatitis B virus	Hepadnaviridae	Orthohepadnavirus		Equus asinus	Domestic donkey	Laurasiatheria	N/A	NK
U29144	ASHV	Arctic ground squirrel hepatitis B virus 	Hepadnaviridae	Orthohepadnavirus		Spermophilus parryii	Arctic ground squirrel	Supraprimates	N/A	ortho-type-2
CSKV	CSKV	Coho salmon parahepadnavirus	Hepadnaviridae	Parahepadnavirus		Oncorhynchus kisutch	Coho salmon	Actinopteri	N/A	ND
NC_027922	wsHBV	White sucker hepadnavirus	Hepadnaviridae	Parahepadnavirus		Catostomus commersonii	White sucker	Actinopteri	N/A	ND
MH716821	AsHBV	Australasian snapper hepadnavirus	Hepadnaviridae	Parahepadnavirus		Pagrus auratus	Australasian snapper	Actinopteri	N/A	ND
