id	locus_id	full_name	virus_family	genus	clade	host_sci_name	Class	Superorder	Order	Family	Genus	assigned_name	assigned_gene	bitscore	identity	target_version	target_name	scaffold	extract_start	extract_end	sequence_length	orientation
Anas_C18139412_3	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anas_platyrhynchos	Aves	Neognathae	Anseriformes	Anatidae	Anas	Fossil-Avihepadna1	consensus-genome	58.2	72.727	bgi_2011-10-28	Anas_platyrhynchos_domestica.scaf.fa	C18139412	3	152	150	positive
Anas_C19237742_79	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anas_platyrhynchos	Aves	Neognathae	Anseriformes	Anatidae	Anas	Snow-goose-hepatitis-B-virus	core	112	47.656	bgi_2011-10-28	Anas_platyrhynchos_domestica.scaf.fa	C19237742	79	456	378	positive
Anas_KB742876_71441	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anas_platyrhynchos	Aves	Neognathae	Anseriformes	Anatidae	Anas	Snow-goose-hepatitis-B-virus	pol	84.7	62.295	ensembl_79_BGI_duck_1.0	Anas_platyrhynchos.BGI_duck_1.0.dna.nonchromosomal.fa	KB742876.1	71441	71623	183	positive
Anas_scaffold3733_544	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anas_platyrhynchos	Aves	Neognathae	Anseriformes	Anatidae	Anas	Rosss-goose-hepatitis-B-virus	polymerase	82	48.75	bgi_2011-10-28	Anas_platyrhynchos_domestica.scaf.fa	scaffold3733	544	783	240	negative
Anas_scaffold490_71429	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anas_platyrhynchos	Aves	Neognathae	Anseriformes	Anatidae	Anas	Snow-goose-hepatitis-B-virus	pol	87	58.571	bgi_2011-10-28	Anas_platyrhynchos_domestica.scaf.fa	scaffold490	71429	72246	818	positive
Anas_NOIK01000472_65196	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anas_zonorhyncha	Aves	Neognathae	Anseriformes	Anatidae	Anas	Snow-goose-hepatitis-B-virus	pol	88.2	60	ASM222487v1	GCA_002224875.1_ASM222487v1_genomic.fna	NOIK01000472.1	65196	66013	818	negative
Anas_NOIK01000496_28214	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anas_zonorhyncha	Aves	Neognathae	Anseriformes	Anatidae	Anas	Snow-goose-hepatitis-B-virus	pol	105	50	ASM222487v1	GCA_002224875.1_ASM222487v1_genomic.fna	NOIK01000496.1	28214	28951	738	positive
Anas_NOIK01000496_39715	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anas_zonorhyncha	Aves	Neognathae	Anseriformes	Anatidae	Anas	Snow-goose-hepatitis-B-virus	core	107	46.875	ASM222487v1	GCA_002224875.1_ASM222487v1_genomic.fna	NOIK01000496.1	39715	40523	809	positive
Anser_NXHY01000317_253313	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anser_brachyrhynchus	Aves	Neognathae	Anseriformes	Anatidae	Anser	Heron-hepatitis-B-virus	polymerase	102	44.138	ASM259213v1	GCA_002592135.1_ASM259213v1_genomic.fna	NXHY01000317.1	253313	253744	432	negative
Anser_NXHY01000420_158752	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anser_brachyrhynchus	Aves	Neognathae	Anseriformes	Anatidae	Anser	Fossil-Avihepadna1	consensus-genome	177	39.925	ASM259213v1	GCA_002592135.1_ASM259213v1_genomic.fna	NXHY01000420.1	158752	160383	1632	negative
Anser_NXHY01000460_168794	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anser_brachyrhynchus	Aves	Neognathae	Anseriformes	Anatidae	Anser	Sheldgoose-hepatitis-B-virus	pol	130	51.908	ASM259213v1	GCA_002592135.1_ASM259213v1_genomic.fna	NXHY01000460.1	168794	169838	1045	negative
Anser_NW_013186040_74227	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anser_cygnoides	Aves	Neognathae	Anseriformes	Anatidae	Anser	Sheldgoose-hepatitis-B-virus	pol	128	51.145	PRJNA183603	381198_ref_AnsCyg_PRJNA183603_v1.0_chrUn.fa	gi|901923309|ref|NW_013186040.1|	74227	75271	1045	negative
Anser_NW_013186024_111351	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anser_cygnoides	Aves	Neognathae	Anseriformes	Anatidae	Anser	Fossil-Avihepadna1	consensus-genome	181	40.299	PRJNA183603	381198_ref_AnsCyg_PRJNA183603_v1.0_chrUn.fa	gi|901923397|ref|NW_013186024.1|	111351	112648	1298	positive
Anser_NW_013185700_522348	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Anser_cygnoides	Aves	Neognathae	Anseriformes	Anatidae	Anser	Heron-hepatitis-B-virus	polymerase	103	44.138	PRJNA183603	381198_ref_AnsCyg_PRJNA183603_v1.0_chrUn.fa	gi|901928791|ref|NW_013185700.1|	522348	522779	432	negative
Chaetura_scaffold53_446736	EHBV-Avi.1-Aves	avian endogenous hepatitis B virus 1 consensus sequence	Hepadnaviridae	Avihepadnavirus		Chaetura_pelagica	Aves	Neognathae	Apodiformes	Apodidae	Chaetura	Snow-goose-hepatitis-B-virus	pol	83.2	39.496	bgi_2011-10-28	Chaetura_pelagica.scaf.noBacterial.fa	scaffold53	446736	447092	357	negative
