sequenceID	virus_name	virus_full_name	virus_family	virus_genus	clade	host_sci_name	host_common_name
NC_001344	DHBV	Duck hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Anas platyrhynchos	Domestic duck
NC_001486	HHBV	Heron hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Ardea cinerea	Grey heron
NC_016561	PaHBV	Parrot hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Psittacula krameri	Rose-ringed parakeet
NC_005888	RGHBV	Ross's goose hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Chen rossii	Ross's goose
NC_005950	SGHBV	Snow goose hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Anser caerulescens	Snow goose
NC_005890	SHBV	Sheldgoose hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Chloephaga poliocephala	Ashy-headed sheldgoose
NC_035210	THBV	Tinamou hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Eudromia elegans 	Elegant crested tinamou
AJ441111	CCHBV	Crane hepatitis B virus 	Hepadnaviridae	Avihepadnavirus		Balearica regulorum	Grey crowned crane
AJ251934	STHBV	Stork hepatitis B virus	Hepadnaviridae	Avihepadnavirus		Ciconia ciconia	White stork
NC_030446	tfHBV	Tibetan frog hepadnavirus	Hepadnaviridae	Herpetohepadnavirus		Nanorana parkeri	Tibetan frog
SLHBV-1	SLHBV-1	Spiny lizard herpetohepadnavirus	Hepadnaviridae	Herpetohepadnavirus		Sceloporus adleri	Spiny lizard 
SkHBV	SkHBV	Skink herpetohepadnavirus	Hepadnaviridae	Herpetohepadnavirus		Saproscincus basiliscus	Skink 
NC_030445	bgHBV	Bluegill hepadnavirus	Hepadnaviridae	Metahepadnavirus		Lepomis macrochirus	Bluegill
MH716822	EsgHBV	Eastern sea garfish hepatitis B virus	Hepadnaviridae	Metahepadnavirus		Hyporhamphus australis	Eastern sea garfish
AMDV	AMDV	Astatotilapia metahepadnavirus	Hepadnaviridae	Metahepadnavirus		Astatotilapia sp	Astatotilapia
