taxon	sequenceID	name	genus	core_shift	variable_region_type	clade	isolate	host_sci_name	host_common_name	sample_date	country
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/MH307930	MH307930	DCHBV	Orthohepadnavirus	N/A	ortho-type 4	-	Sydney2016	Felis catus	Domestic cat	-	Australia
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/MH484442	MH484442	ClHBV	Orthohepadnavirus	N/A	ortho-type 5	-	CX88	Crocidura lasiura	Ussuri white-toothed shrew	-	China
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_001484	NC_001484	GSHV	Orthohepadnavirus	N/A	ortho-type-2	-	-	Spermophilus beecheyi	California ground squirrel	-	-
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_003977	NC_003977	HBV	Orthohepadnavirus	N/A	ortho-type-1	Primate	-	Homo sapiens	Human	-	-
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_004107	NC_004107	WhBv	Orthohepadnavirus	N/A	ortho-type-2	-	-	Marmota monax	Woodchuck	-	-
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_020881	NC_020881	LfbHBV	Orthohepadnavirus	N/A	ortho-type-6	-	776	Miniopterus fuliginosus	Long-fingered bat	-	Myanmar
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_024443	NC_024443	RlbHBV	Orthohepadnavirus	N/A	ortho-type-6	-	RBHBV/GB09-256/Hip_rub/GAB/2009	Hipposideros cf. ruber	Roundleaf bat	-	Gabon
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_024444	NC_024444	HsbHBV	Orthohepadnavirus	N/A	ortho-type-6	-	HBHBV/GB09-403/Rhi_alc/GAB/2009	Rhinolophus alcyone	Horseshoe bat	-	Gabon
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_024445	NC_024445	TBHBV	Orthohepadnavirus	N/A	ortho-type-2a	-	TBHBV/Pan372/Uro_bil/PAN/2010	Hipposideros cf. ruber	Tent-making bat	-	Panama
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_028129	NC_028129	WMHBV	Orthohepadnavirus	N/A	ortho-type-1	Primate	-	Lagothrix lagothricha 	Woolly monkey	-	-
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/U29144	U29144	ASHV	Orthohepadnavirus	N/A	ortho-type-2	-	-	Spermophilus parryii	Arctic ground squirrel	-	-
