taxon	sequenceID	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order	host_major_clade	host_middle_clade	host_minor_clade
alignment/AL_eHBV-Avi.35-Pterocles/member/fasta-refseqs-ehbv/ehbv-avi.35-pterocles	ehbv-avi.35-pterocles	Avihepadnavirus	-	-	-	-	-	-	-	-	-	-
alignment/AL_eHBV-Avi.35-Pterocles/member/fasta-digs-ehbv/Limosa_lapponica_baueri_5312	Limosa_lapponica_baueri_5312	Avihepadnavirus	KZ508325.1	61.905	231	-	Limosa	Scolopacidae	Charadriiformes	Neoaves	none	Aequorlitornithes
alignment/AL_eHBV-Avi.35-Pterocles/member/fasta-digs-ehbv/Manacus_vitellinus_5321	Manacus_vitellinus_5321	Avihepadnavirus	scaffold21	45.397	223	-	Manacus	Pipridae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_eHBV-Avi.35-Pterocles/member/fasta-digs-ehbv/Paradisaea_raggiana_5401	Paradisaea_raggiana_5401	Avihepadnavirus	RAHK01000163.1	49.518	447	-	Paradisaea	Paradisaeidae	Passeriformes	Neoaves	Inopaves	Australiaves
alignment/AL_eHBV-Avi.35-Pterocles/member/fasta-digs-ehbv/Phaethon_lepturus_5412	Phaethon_lepturus_5412	Avihepadnavirus	scaffold3985	52.852	217	-	Phaethon	Phaethontidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_eHBV-Avi.35-Pterocles/member/fasta-digs-ehbv/Phalacrocorax_carbo_5419	Phalacrocorax_carbo_5419	Avihepadnavirus	scaffold23825	53.444	330	-	Phalacrocorax	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_eHBV-Avi.35-Pterocles/member/fasta-digs-ehbv/Podiceps_cristatus_5467	Podiceps_cristatus_5467	Avihepadnavirus	scaffold11994	52.859	692	-	Podiceps	Podicipedidae	Podicipediformes	Neoaves	none	none
alignment/AL_eHBV-Avi.35-Pterocles/member/fasta-digs-ehbv/Pterocles_gutturalis_5486	Pterocles_gutturalis_5486	Avihepadnavirus	scaffold28936	96.429	305	-	Pterocles	Pteroclidae	Pterocliformes	Neoaves	none	Columbaves
alignment/AL_eHBV-Avi.35-Pterocles/member/fasta-digs-ehbv/Pygoscelis_adeliae_5489	Pygoscelis_adeliae_5489	Avihepadnavirus	Scaffold14	77.255	385	-	Pygoscelis	Spheniscidae	Sphenisciformes	Neoaves	none	Aequorlitornithes
alignment/AL_eHBV-Avi.35-Pterocles/member/fasta-digs-ehbv/Pygoscelis_antarcticus_5490	Pygoscelis_antarcticus_5490	Avihepadnavirus	NDHD01001273.1	76.863	381	-	Pygoscelis	Spheniscidae	Sphenisciformes	Neoaves	none	Aequorlitornithes
alignment/AL_eHBV-Avi.35-Pterocles/member/fasta-digs-ehbv/Pygoscelis_papua_5493	Pygoscelis_papua_5493	Avihepadnavirus	NDHF01001273.1	77.255	385	-	Pygoscelis	Spheniscidae	Sphenisciformes	Neoaves	none	Aequorlitornithes
alignment/AL_eHBV-Avi.35-Pterocles/member/fasta-digs-ehbv/Spheniscus_mendiculus_5511	Spheniscus_mendiculus_5511	Avihepadnavirus	NDGW01001273.1	79.216	397	-	Spheniscus	Spheniscidae	Sphenisciformes	Neoaves	none	Aequorlitornithes
