taxon	sequenceID	genus	scaffold	identity	bitscore	host_species	host_genus	host_major_clade	host_middle_clade	host_minor_clade	host_family
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Acanthisitta_chloris_4826	Acanthisitta_chloris_4826	Avihepadnavirus	scaffold27280	77.885	322	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Agapornis_roseicollis_4832	Agapornis_roseicollis_4832	Avihepadnavirus	NDXB01015160.1	53.933	254	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Amazona_aestiva_5164	Amazona_aestiva_5164	Avihepadnavirus	LMAW01002613.1	67.697	430	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Amazona_vittata_5179	Amazona_vittata_5179	Avihepadnavirus	KB272672.1	67.845	350	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Antigone_vipio_27284	Antigone_vipio_27284	Avihepadnavirus	BJEU01003050.1	82.051	491	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Antrostomus_carolinensis_5201	Antrostomus_carolinensis_5201	Avihepadnavirus	scaffold16207	71.756	313	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Apaloderma_vittatum_5203	Apaloderma_vittatum_5203	Avihepadnavirus	scaffold16435	60.377	348	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Aptenodytes_forsteri_5204	Aptenodytes_forsteri_5204	Avihepadnavirus	Scaffold155	94.805	457	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Aquila_chrysaetos_canadensis_5206	Aquila_chrysaetos_canadensis_5206	Avihepadnavirus	gi|766829346|ref|NW_011950900.1|	89.683	462	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Ara_macao_5210	Ara_macao_5210	Avihepadnavirus	KE061309.1	76.238	300	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Ara_macao_5216	Ara_macao_5216	Avihepadnavirus	AOUJ01462462.1	77.536	205	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Athene_cunicularia_5225	Athene_cunicularia_5225	Avihepadnavirus	QEEU01000002.1	67.376	565	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Balearica_regulorum_5228	Balearica_regulorum_5228	Avihepadnavirus	scaffold1498	78.616	256	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Bubo_blakistoni_5230	Bubo_blakistoni_5230	Avihepadnavirus	BJCB01005125.1	85.38	259	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Buceros_rhinoceros_5232	Buceros_rhinoceros_5232	Avihepadnavirus	scaffold36794	60.377	410	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Calidris_pugnax_5233	Calidris_pugnax_5233	Avihepadnavirus	gi|960494929|ref|NW_015094510.1|	73.559	686	-	-	-	-	-	-
alignment/AL_eHBV-Avi.1-Neoaves/member/fasta-digs-ehbv/Calidris_pygmaea_5234	Calidris_pygmaea_5234	Avihepadnavirus	QJSC01016008.1	66.667	296	-	-	-	-	-	-
