taxon	sequenceID	clade	isolate	host_sci_name	host_sci_name	sample_date	country
alignment/AL_UNC_Ortho_P_EVE/member/ncbi-refseqs/MH307930	MH307930	-	Sydney2016	Felis catus	-	-	Australia
alignment/AL_UNC_Ortho_P_EVE/member/ncbi-refseqs/MH484442	MH484442	-	CX88	Crocidura lasiura	-	-	China
alignment/AL_UNC_Ortho_P_EVE/member/ncbi-refseqs/MK620908	MK620908	-	Tai	Philantomba maxwellii	-	-	Cote d'Ivoire
alignment/AL_UNC_Ortho_P_EVE/member/ncbi-refseqs/NC_001484	NC_001484	-	-	Spermophilus beecheyi	-	-	-
alignment/AL_UNC_Ortho_P_EVE/member/ncbi-refseqs/NC_003977	NC_003977	Primate	-	Homo sapiens	-	-	-
alignment/AL_UNC_Ortho_P_EVE/member/ncbi-refseqs/NC_004107	NC_004107	-	-	Marmota monax	-	-	-
alignment/AL_UNC_Ortho_P_EVE/member/ncbi-refseqs/NC_020881	NC_020881	-	776	Miniopterus fuliginosus	-	-	Myanmar
alignment/AL_UNC_Ortho_P_EVE/member/ncbi-refseqs/NC_024443	NC_024443	-	RBHBV/GB09-256/Hip_rub/GAB/2009	Hipposideros cf. ruber	-	-	Gabon
alignment/AL_UNC_Ortho_P_EVE/member/ncbi-refseqs/NC_024444	NC_024444	-	HBHBV/GB09-403/Rhi_alc/GAB/2009	Rhinolophus alcyone	-	-	Gabon
alignment/AL_UNC_Ortho_P_EVE/member/ncbi-refseqs/NC_024445	NC_024445	-	TBHBV/Pan372/Uro_bil/PAN/2010	Uroderma bilobatum	-	-	Panama
alignment/AL_UNC_Ortho_P_EVE/member/ncbi-refseqs/NC_028129	NC_028129	Primate	-	Lagothrix lagothricha 	-	-	-
alignment/AL_UNC_Ortho_P_EVE/member/ncbi-refseqs/U29144	U29144	-	-	Spermophilus parryii	-	-	-
