taxon	sequenceID	name	genus	clade	isolate	host_sci_name	host_common_name	sample_date	country
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/MH307930	MH307930	DCHBV	Orthohepadnavirus	-	Sydney2016	Felis catus	-	-	Australia
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/MH484442	MH484442	ClHBV	Orthohepadnavirus	-	CX88	Crocidura lasiura	-	-	China
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/MK620908	MK620908	TaiHBV	Orthohepadnavirus	-	Tai	Philantomba maxwellii	-	-	Cote d'Ivoire
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_001484	NC_001484	GSHV	Orthohepadnavirus	-	-	Spermophilus beecheyi	-	-	-
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_003977	NC_003977	HBV	Orthohepadnavirus	Primate	-	Homo sapiens	-	-	-
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_004107	NC_004107	WhBv	Orthohepadnavirus	-	-	Marmota monax	-	-	-
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_020881	NC_020881	LfbHBV	Orthohepadnavirus	-	776	Miniopterus fuliginosus	-	-	Myanmar
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_024443	NC_024443	RlbHBV	Orthohepadnavirus	-	RBHBV/GB09-256/Hip_rub/GAB/2009	Hipposideros cf. ruber	-	-	Gabon
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_024444	NC_024444	HsbHBV	Orthohepadnavirus	-	HBHBV/GB09-403/Rhi_alc/GAB/2009	Rhinolophus alcyone	-	-	Gabon
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_024445	NC_024445	TBHBV	Orthohepadnavirus	-	TBHBV/Pan372/Uro_bil/PAN/2010	Uroderma bilobatum	-	-	Panama
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_028129	NC_028129	WMHBV	Orthohepadnavirus	Primate	-	Lagothrix lagothricha 	-	-	-
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/U29144	U29144	ASHV	Orthohepadnavirus	-	-	Spermophilus parryii	-	-	-
